CustomerID,Country
12347.0,Iceland
12348.0,Finland
12349.0,Italy
12352.0,Norway
12353.0,Bahrain
12354.0,Spain
12356.0,Portugal
12357.0,Switzerland
12359.0,Cyprus
12360.0,Austria
12362.0,Belgium
12363.0,Unspecified
12364.0,Belgium
12365.0,Cyprus
12370.0,Cyprus
12371.0,Switzerland
12372.0,Denmark
12377.0,Switzerland
12378.0,Switzerland
12379.0,Belgium
12380.0,Belgium
12381.0,Norway
12383.0,Belgium
12384.0,Switzerland
12386.0,Australia
12388.0,Australia
12390.0,Belgium
12391.0,Cyprus
12393.0,Australia
12395.0,Belgium
12397.0,Belgium
12398.0,Switzerland
12399.0,Belgium
12405.0,Finland
12406.0,Denmark
12407.0,Belgium
12408.0,Belgium
12409.0,Switzerland
12410.0,Switzerland
12412.0,Denmark
12413.0,France
12415.0,Australia
12417.0,Belgium
12423.0,Belgium
12424.0,Australia
12426.0,Germany
12427.0,Germany
12428.0,Finland
12429.0,Denmark
12431.0,Australia
12432.0,Norway
12433.0,Norway
12434.0,Australia
12435.0,Denmark
12437.0,France
12438.0,Norway
12444.0,Norway
12449.0,Belgium
12451.0,Switzerland
12452.0,Switzerland
12453.0,Austria
12455.0,Spain
12456.0,Switzerland
12457.0,Switzerland
12462.0,Spain
12464.0,Belgium
12468.0,Germany
12471.0,Germany
12472.0,Germany
12473.0,Germany
12474.0,Germany
12475.0,Germany
12476.0,Germany
12477.0,Germany
12478.0,Greece
12479.0,Germany
12480.0,Germany
12481.0,Germany
12483.0,Sweden
12484.0,Spain
12490.0,France
12493.0,France
12494.0,France
12498.0,Germany
12501.0,Germany
12502.0,Spain
12504.0,Germany
12506.0,France
12508.0,France
12510.0,Spain
12513.0,France
12514.0,Italy
12516.0,Germany
12517.0,Germany
12518.0,Germany
12520.0,Germany
12521.0,Germany
12523.0,France
12524.0,Germany
12526.0,Germany
12527.0,Germany
12528.0,Germany
12530.0,Germany
12531.0,Germany
12534.0,Germany
12535.0,France
12536.0,France
12539.0,Spain
12540.0,Spain
12544.0,Spain
12546.0,Spain
12550.0,Spain
12552.0,Italy
12553.0,France
12556.0,Spain
12557.0,Spain
12560.0,Germany
12562.0,France
12564.0,France
12566.0,Germany
12567.0,France
12569.0,Germany
12571.0,France
12572.0,Germany
12573.0,France
12574.0,France
12576.0,Poland
12577.0,France
12578.0,Italy
12579.0,France
12581.0,Germany
12582.0,Finland
12583.0,France
12584.0,Italy
12586.0,Italy
12589.0,France
12590.0,Germany
12591.0,Italy
12594.0,Italy
12597.0,Spain
12598.0,France
12599.0,France
12600.0,Germany
12604.0,France
12607.0,USA
12609.0,Germany
12610.0,Italy
12611.0,Italy
12613.0,Germany
12614.0,Germany
12615.0,France
12616.0,France
12617.0,France
12619.0,Germany
12620.0,France
12621.0,Germany
12622.0,Germany
12624.0,France
12626.0,Germany
12627.0,Germany
